---------------------------------------------
Efficiency functions for 2G -> 2.5G
Efficiencies for GW only and GW+EM counterpart
---------------------------------------------
redshift | O2 Joint | O2 GW only | O3 Joint | O3 GW only | O4 Joint | O4 GW only | A+ Joint | A+ GW only | Voyager Joint | Voyager GW only 
0.0041 ;0.9141 ;0.9677  ;0.9650  ;0.9856  ;0.9828  ;0.9927  ;0.9946  ;0.9976  ;0.9989  ;0.9995
0.0043 ;0.9079 ;0.9654  ;0.9625  ;0.9846  ;0.9815  ;0.9921  ;0.9942  ;0.9974  ;0.9988  ;0.9994
0.0044 ;0.9014 ;0.9629  ;0.9598  ;0.9834  ;0.9802  ;0.9915  ;0.9938  ;0.9972  ;0.9987  ;0.9994
0.0046 ;0.8943 ;0.9602  ;0.9568  ;0.9822  ;0.9787  ;0.9909  ;0.9933  ;0.9970  ;0.9986  ;0.9994
0.0048 ;0.8868 ;0.9573  ;0.9537  ;0.9809  ;0.9772  ;0.9902  ;0.9928  ;0.9968  ;0.9985  ;0.9993
0.0050 ;0.8787 ;0.9542  ;0.9503  ;0.9795  ;0.9755  ;0.9895  ;0.9923  ;0.9966  ;0.9984  ;0.9993
0.0052 ;0.8701 ;0.9508  ;0.9468  ;0.9780  ;0.9737  ;0.9887  ;0.9917  ;0.9963  ;0.9983  ;0.9992
0.0054 ;0.8609 ;0.9473  ;0.9429  ;0.9764  ;0.9718  ;0.9879  ;0.9911  ;0.9960  ;0.9981  ;0.9991
0.0056 ;0.8511 ;0.9435  ;0.9388  ;0.9746  ;0.9697  ;0.9870  ;0.9904  ;0.9957  ;0.9980  ;0.9991
0.0059 ;0.8405 ;0.9394  ;0.9344  ;0.9728  ;0.9675  ;0.9860  ;0.9897  ;0.9954  ;0.9978  ;0.9990
0.0061 ;0.8293 ;0.9350  ;0.9297  ;0.9708  ;0.9651  ;0.9849  ;0.9889  ;0.9950  ;0.9977  ;0.9989
0.0064 ;0.8172 ;0.9303  ;0.9246  ;0.9686  ;0.9626  ;0.9838  ;0.9881  ;0.9947  ;0.9975  ;0.9988
0.0066 ;0.8043 ;0.9253  ;0.9192  ;0.9663  ;0.9598  ;0.9826  ;0.9872  ;0.9943  ;0.9973  ;0.9988
0.0069 ;0.7906 ;0.9200  ;0.9134  ;0.9639  ;0.9569  ;0.9814  ;0.9863  ;0.9938  ;0.9971  ;0.9987
0.0072 ;0.7758 ;0.9142  ;0.9072  ;0.9613  ;0.9538  ;0.9800  ;0.9853  ;0.9934  ;0.9969  ;0.9986
0.0075 ;0.7601 ;0.9081  ;0.9006  ;0.9584  ;0.9504  ;0.9785  ;0.9842  ;0.9929  ;0.9967  ;0.9984
0.0078 ;0.7433 ;0.9015  ;0.8935  ;0.9554  ;0.9469  ;0.9769  ;0.9830  ;0.9924  ;0.9964  ;0.9983
0.0081 ;0.7253 ;0.8945  ;0.8859  ;0.9522  ;0.9430  ;0.9752  ;0.9818  ;0.9918  ;0.9961  ;0.9982
0.0084 ;0.7061 ;0.8870  ;0.8778  ;0.9487  ;0.9389  ;0.9734  ;0.9804  ;0.9912  ;0.9959  ;0.9981
0.0088 ;0.6855 ;0.8789  ;0.8691  ;0.9450  ;0.9345  ;0.9715  ;0.9790  ;0.9905  ;0.9955  ;0.9979
0.0091 ;0.6636 ;0.8703  ;0.8598  ;0.9410  ;0.9298  ;0.9694  ;0.9775  ;0.9898  ;0.9952  ;0.9978
0.0095 ;0.6406 ;0.8611  ;0.8499  ;0.9368  ;0.9247  ;0.9672  ;0.9758  ;0.9890  ;0.9948  ;0.9976
0.0099 ;0.6169 ;0.8513  ;0.8393  ;0.9322  ;0.9193  ;0.9648  ;0.9740  ;0.9882  ;0.9945  ;0.9974
0.0103 ;0.5926 ;0.8408  ;0.8279  ;0.9274  ;0.9136  ;0.9622  ;0.9721  ;0.9874  ;0.9940  ;0.9972
0.0107 ;0.5675 ;0.8296  ;0.8158  ;0.9222  ;0.9074  ;0.9595  ;0.9701  ;0.9864  ;0.9936  ;0.9970
0.0112 ;0.5419 ;0.8175  ;0.8028  ;0.9166  ;0.9008  ;0.9565  ;0.9679  ;0.9854  ;0.9931  ;0.9968
0.0116 ;0.5156 ;0.8047  ;0.7889  ;0.9106  ;0.8937  ;0.9534  ;0.9656  ;0.9843  ;0.9926  ;0.9965
0.0121 ;0.4887 ;0.7909  ;0.7741  ;0.9042  ;0.8861  ;0.9500  ;0.9631  ;0.9832  ;0.9920  ;0.9963
0.0126 ;0.4614 ;0.7763  ;0.7583  ;0.8974  ;0.8780  ;0.9464  ;0.9604  ;0.9819  ;0.9915  ;0.9960
0.0131 ;0.4335 ;0.7606  ;0.7413  ;0.8901  ;0.8694  ;0.9425  ;0.9575  ;0.9806  ;0.9908  ;0.9957
0.0137 ;0.4052 ;0.7438  ;0.7232  ;0.8822  ;0.8601  ;0.9383  ;0.9544  ;0.9792  ;0.9901  ;0.9954
0.0142 ;0.3767 ;0.7258  ;0.7039  ;0.8739  ;0.8502  ;0.9339  ;0.9511  ;0.9777  ;0.9894  ;0.9950
0.0148 ;0.3479 ;0.7066  ;0.6832  ;0.8649  ;0.8396  ;0.9292  ;0.9476  ;0.9760  ;0.9886  ;0.9946
0.0154 ;0.3191 ;0.6861  ;0.6611  ;0.8554  ;0.8283  ;0.9241  ;0.9438  ;0.9743  ;0.9878  ;0.9942
0.0161 ;0.2905 ;0.6642  ;0.6380  ;0.8451  ;0.8162  ;0.9186  ;0.9397  ;0.9724  ;0.9869  ;0.9938
0.0167 ;0.2622 ;0.6413  ;0.6143  ;0.8342  ;0.8032  ;0.9128  ;0.9354  ;0.9704  ;0.9859  ;0.9933
0.0174 ;0.2347 ;0.6176  ;0.5899  ;0.8225  ;0.7894  ;0.9066  ;0.9307  ;0.9682  ;0.9848  ;0.9928
0.0181 ;0.2085 ;0.5933  ;0.5648  ;0.8100  ;0.7746  ;0.8999  ;0.9258  ;0.9659  ;0.9837  ;0.9923
0.0189 ;0.1850 ;0.5683  ;0.5391  ;0.7966  ;0.7588  ;0.8928  ;0.9204  ;0.9634  ;0.9825  ;0.9917
0.0196 ;0.1636 ;0.5427  ;0.5127  ;0.7823  ;0.7419  ;0.8851  ;0.9147  ;0.9607  ;0.9812  ;0.9911
0.0204 ;0.1437 ;0.5165  ;0.4858  ;0.7671  ;0.7238  ;0.8770  ;0.9086  ;0.9579  ;0.9799  ;0.9905
0.0213 ;0.1252 ;0.4896  ;0.4584  ;0.7507  ;0.7045  ;0.8682  ;0.9021  ;0.9548  ;0.9784  ;0.9897
0.0222 ;0.1080 ;0.4623  ;0.4305  ;0.7333  ;0.6839  ;0.8589  ;0.8951  ;0.9516  ;0.9768  ;0.9890
0.0231 ;0.0921 ;0.4345  ;0.4023  ;0.7146  ;0.6619  ;0.8489  ;0.8877  ;0.9481  ;0.9751  ;0.9882
0.0240 ;0.0773 ;0.4063  ;0.3737  ;0.6947  ;0.6388  ;0.8383  ;0.8797  ;0.9443  ;0.9733  ;0.9873
0.0250 ;0.0638 ;0.3777  ;0.3449  ;0.6734  ;0.6151  ;0.8268  ;0.8711  ;0.9403  ;0.9713  ;0.9864
0.0260 ;0.0515 ;0.3490  ;0.3162  ;0.6508  ;0.5908  ;0.8147  ;0.8620  ;0.9360  ;0.9692  ;0.9853
0.0271 ;0.0404 ;0.3202  ;0.2875  ;0.6274  ;0.5657  ;0.8016  ;0.8523  ;0.9314  ;0.9670  ;0.9843
0.0282 ;0.0306 ;0.2916  ;0.2594  ;0.6034  ;0.5401  ;0.7877  ;0.8418  ;0.9265  ;0.9646  ;0.9831
0.0294 ;0.0220 ;0.2633  ;0.2320  ;0.5787  ;0.5138  ;0.7728  ;0.8307  ;0.9212  ;0.9620  ;0.9819
0.0306 ;0.0148 ;0.2358  ;0.2060  ;0.5534  ;0.4869  ;0.7569  ;0.8187  ;0.9156  ;0.9593  ;0.9805
0.0318 ;0.0090 ;0.2096  ;0.1828  ;0.5274  ;0.4595  ;0.7398  ;0.8060  ;0.9095  ;0.9563  ;0.9791
0.0331 ;0.0045 ;0.1860  ;0.1616  ;0.5009  ;0.4317  ;0.7217  ;0.7924  ;0.9031  ;0.9531  ;0.9776
0.0345 ;0.0016 ;0.1645  ;0.1419  ;0.4738  ;0.4034  ;0.7022  ;0.7778  ;0.8962  ;0.9497  ;0.9759
0.0359 ;0.0001 ;0.1446  ;0.1235  ;0.4461  ;0.3749  ;0.6815  ;0.7622  ;0.8888  ;0.9461  ;0.9742
0.0374 ;NaN ;0.1260  ;0.1065  ;0.4181  ;0.3462  ;0.6593  ;0.7456  ;0.8809  ;0.9422  ;0.9723
0.0389 ;NaN ;0.1088  ;0.0907  ;0.3897  ;0.3174  ;0.6362  ;0.7278  ;0.8724  ;0.9381  ;0.9702
0.0405 ;NaN ;0.0928  ;0.0760  ;0.3611  ;0.2889  ;0.6125  ;0.7088  ;0.8634  ;0.9336  ;0.9681
0.0422 ;NaN ;0.0780  ;0.0626  ;0.3324  ;0.2607  ;0.5881  ;0.6885  ;0.8538  ;0.9289  ;0.9658
0.0439 ;NaN ;0.0645  ;0.0505  ;0.3037  ;0.2333  ;0.5630  ;0.6668  ;0.8434  ;0.9238  ;0.9633
0.0457 ;NaN ;0.0521  ;0.0395  ;0.2753  ;0.2073  ;0.5373  ;0.6440  ;0.8324  ;0.9183  ;0.9606
0.0476 ;NaN ;0.0410  ;0.0298  ;0.2474  ;0.1839  ;0.5110  ;0.6205  ;0.8206  ;0.9125  ;0.9577
0.0495 ;NaN ;0.0311  ;0.0214  ;0.2206  ;0.1626  ;0.4841  ;0.5963  ;0.8080  ;0.9063  ;0.9547
0.0516 ;NaN ;0.0225  ;0.0143  ;0.1958  ;0.1429  ;0.4567  ;0.5715  ;0.7946  ;0.8996  ;0.9514
0.0537 ;NaN ;0.0152  ;0.0086  ;0.1735  ;0.1245  ;0.4289  ;0.5460  ;0.7802  ;0.8924  ;0.9479
0.0559 ;NaN ;0.0093  ;0.0043  ;0.1530  ;0.1074  ;0.4007  ;0.5199  ;0.7648  ;0.8848  ;0.9442
0.0582 ;NaN ;0.0048  ;0.0014  ;0.1339  ;0.0915  ;0.3722  ;0.4932  ;0.7484  ;0.8767  ;0.9402
0.0606 ;NaN ;0.0017  ;0.0001  ;0.1162  ;0.0769  ;0.3435  ;0.4660  ;0.7308  ;0.8679  ;0.9359
0.0631 ;NaN ;0.0002  ;NaN  ;0.0997  ;0.0634  ;0.3148  ;0.4384  ;0.7120  ;0.8586  ;0.9313
0.0656 ;NaN ;NaN  ;NaN  ;0.0844  ;0.0512  ;0.2863  ;0.4103  ;0.6920  ;0.8487  ;0.9263
0.0683 ;NaN ;NaN  ;NaN  ;0.0704  ;0.0402  ;0.2583  ;0.3819  ;0.6706  ;0.8380  ;0.9211
0.0711 ;NaN ;NaN  ;NaN  ;0.0575  ;0.0304  ;0.2310  ;0.3533  ;0.6480  ;0.8266  ;0.9155
0.0741 ;NaN ;NaN  ;NaN  ;0.0458  ;0.0219  ;0.2053  ;0.3247  ;0.6247  ;0.8145  ;0.9094
0.0771 ;NaN ;NaN  ;NaN  ;0.0354  ;0.0148  ;0.1822  ;0.2961  ;0.6007  ;0.8015  ;0.9030
0.0803 ;NaN ;NaN  ;NaN  ;0.0263  ;0.0090  ;0.1611  ;0.2679  ;0.5760  ;0.7876  ;0.8961
0.0836 ;NaN ;NaN  ;NaN  ;0.0184  ;0.0046  ;0.1415  ;0.2404  ;0.5507  ;0.7728  ;0.8888
0.0870 ;NaN ;NaN  ;NaN  ;0.0119  ;0.0016  ;0.1233  ;0.2140  ;0.5248  ;0.7570  ;0.8809
0.0906 ;NaN ;NaN  ;NaN  ;0.0067  ;0.0001  ;0.1063  ;0.1900  ;0.4984  ;0.7401  ;0.8725
0.0943 ;NaN ;NaN  ;NaN  ;0.0030  ;NaN  ;0.0906  ;0.1683  ;0.4714  ;0.7220  ;0.8636
0.0982 ;NaN ;NaN  ;NaN  ;0.0007  ;NaN  ;0.0761  ;0.1483  ;0.4439  ;0.7027  ;0.8540
0.1022 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;0.0628  ;0.1296  ;0.4160  ;0.6822  ;0.8438
0.1064 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;0.0506  ;0.1123  ;0.3878  ;0.6602  ;0.8328
0.1107 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;0.0397  ;0.0961  ;0.3594  ;0.6374  ;0.8211
0.1153 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;0.0301  ;0.0812  ;0.3309  ;0.6138  ;0.8087
0.1200 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;0.0217  ;0.0675  ;0.3024  ;0.5897  ;0.7954
0.1250 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;0.0146  ;0.0549  ;0.2743  ;0.5649  ;0.7812
0.1301 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;0.0089  ;0.0436  ;0.2467  ;0.5395  ;0.7660
0.1354 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;0.0045  ;0.0335  ;0.2202  ;0.5135  ;0.7498
0.1410 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;0.0016  ;0.0247  ;0.1957  ;0.4870  ;0.7325
0.1468 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;0.0001  ;0.0171  ;0.1737  ;0.4599  ;0.7141
0.1528 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0109  ;0.1534  ;0.4325  ;0.6944
0.1591 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0060  ;0.1345  ;0.4047  ;0.6734
0.1656 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0025  ;0.1169  ;0.3766  ;0.6512
0.1724 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0005  ;0.1006  ;0.3484  ;0.6283
0.1795 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0855  ;0.3201  ;0.6047
0.1868 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0715  ;0.2920  ;0.5806
0.1945 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0588  ;0.2643  ;0.5558
0.2025 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0472  ;0.2374  ;0.5304
0.2108 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0368  ;0.2117  ;0.5046
0.2195 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0276  ;0.1884  ;0.4782
0.2285 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0197  ;0.1672  ;0.4514
0.2379 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0131  ;0.1476  ;0.4242
0.2476 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0078  ;0.1294  ;0.3967
0.2578 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0038  ;0.1125  ;0.3690
0.2684 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0012  ;0.0967  ;0.3412
0.2794 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0001  ;0.0822  ;0.3135
0.2909 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0687  ;0.2860
0.3028 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0565  ;0.2589
0.3152 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0453  ;0.2327
0.3282 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0354  ;0.2078
0.3416 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0266  ;0.1854
0.3557 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0190  ;0.1650
0.3703 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0126  ;0.1461
0.3855 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0075  ;0.1285
0.4013 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0037  ;0.1121
0.4178 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0012  ;0.0968
0.4349 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0001  ;0.0827
0.4528 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0696
0.4714 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0577
0.4907 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0468
0.5109 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0371
0.5318 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0284
0.5537 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0209
0.5764 ;NaN ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;NaN  ;0.0145
