   1.0000000e-03   9.9849224e-01
   1.0254987e-03   9.9842217e-01
   1.0516477e-03   9.9834801e-01
   1.0784634e-03   9.9826925e-01
   1.1059628e-03   9.9818849e-01
   1.1341635e-03   9.9810424e-01
   1.1630832e-03   9.9801427e-01
   1.1927404e-03   9.9792200e-01
   1.2231538e-03   9.9782518e-01
   1.2543426e-03   9.9772165e-01
   1.2863268e-03   9.9761549e-01
   1.3191265e-03   9.9750337e-01
   1.3527626e-03   9.9738626e-01
   1.3872563e-03   9.9726589e-01
   1.4226296e-03   9.9713663e-01
   1.4589049e-03   9.9700407e-01
   1.4961051e-03   9.9686381e-01
   1.5342539e-03   9.9671752e-01
   1.5733755e-03   9.9656488e-01
   1.6134946e-03   9.9640392e-01
   1.6546366e-03   9.9623717e-01
   1.6968278e-03   9.9606050e-01
   1.7400948e-03   9.9587790e-01
   1.7844650e-03   9.9568473e-01
   1.8299666e-03   9.9548474e-01
   1.8766285e-03   9.9527421e-01
   1.9244801e-03   9.9505517e-01
   1.9735519e-03   9.9482606e-01
   2.0238750e-03   9.9458537e-01
   2.0754813e-03   9.9433542e-01
   2.1284035e-03   9.9407090e-01
   2.1826751e-03   9.9379667e-01
   2.2383306e-03   9.9351037e-01
   2.2954052e-03   9.9320922e-01
   2.3539351e-03   9.9289525e-01
   2.4139575e-03   9.9256574e-01
   2.4755104e-03   9.9222101e-01
   2.5386328e-03   9.9186197e-01
   2.6033647e-03   9.9148743e-01
   2.6697472e-03   9.9109395e-01
   2.7378224e-03   9.9068320e-01
   2.8076335e-03   9.9025417e-01
   2.8792246e-03   9.8980581e-01
   2.9526412e-03   9.8933764e-01
   3.0279298e-03   9.8884863e-01
   3.1051382e-03   9.8833504e-01
   3.1843153e-03   9.8779884e-01
   3.2655114e-03   9.8723776e-01
   3.3487778e-03   9.8665216e-01
   3.4341674e-03   9.8603975e-01
   3.5217344e-03   9.8539964e-01
   3.6115342e-03   9.8473052e-01
   3.7036238e-03   9.8403093e-01
   3.7980615e-03   9.8330048e-01
   3.8949073e-03   9.8253702e-01
   3.9942225e-03   9.8173906e-01
   4.0960702e-03   9.8090562e-01
   4.2005148e-03   9.8003568e-01
   4.3076227e-03   9.7912538e-01
   4.4174616e-03   9.7817368e-01
   4.5301013e-03   9.7718065e-01
